sub,priming,word,ifanimal,ifcorr,rt,exp_type,syl
312-huangchengjie_linguistic_rhythm_priming_2023-03-12_15h40.53.877.csv,primingeq,lyrebird,TRUE,1,1.2087222,exp1,3
312-huangchengjie_linguistic_rhythm_priming_2023-03-12_15h40.53.877.csv,priming,ladybug,TRUE,0,1.0413835,exp1,3
312-huangchengjie_linguistic_rhythm_priming_2023-03-12_15h40.53.877.csv,priming,violin,FALSE,1,1.3947486,exp1,2
312-huangchengjie_linguistic_rhythm_priming_2023-03-12_15h40.53.877.csv,priming,kangaroo,TRUE,1,1.4459655,exp1,3
312-huangchengjie_linguistic_rhythm_priming_2023-03-12_15h40.53.877.csv,primingeq,tomato,FALSE,1,1.1110619,exp1,3
312-huangchengjie_linguistic_rhythm_priming_2023-03-12_15h40.53.877.csv,priming,coffee,FALSE,1,1.1931863,exp1,2
312-huangchengjie_linguistic_rhythm_priming_2023-03-12_15h40.53.877.csv,primingeq,monkey,TRUE,1,0.8063168,exp1,2
312-huangchengjie_linguistic_rhythm_priming_2023-03-12_15h40.53.877.csv,primingeq,guitar,FALSE,1,0.9634201,exp1,2
312-huangchengjie_linguistic_rhythm_priming_2023-03-12_15h40.53.877.csv,priming,balcony,FALSE,1,1.1622247,exp1,3
312-huangchengjie_linguistic_rhythm_priming_2023-03-12_15h40.53.877.csv,primingeq,penguin,TRUE,1,0.8662417,exp1,2
312-huangchengjie_linguistic_rhythm_priming_2023-03-12_15h40.53.877.csv,primingeq,medicine,FALSE,1,0.9108412,exp1,3
312-huangchengjie_linguistic_rhythm_priming_2023-03-12_15h40.53.877.csv,priming,guitar,FALSE,1,0.7746046,exp1,2
312-huangchengjie_linguistic_rhythm_priming_2023-03-12_15h40.53.877.csv,primingeq,pigeon,TRUE,1,1.2435707,exp1,2
312-huangchengjie_linguistic_rhythm_priming_2023-03-12_15h40.53.877.csv,priming,anxiety,FALSE,1,1.0237375,exp1,3
312-huangchengjie_linguistic_rhythm_priming_2023-03-12_15h40.53.877.csv,primingeq,flower,FALSE,1,0.9475777,exp1,2
312-huangchengjie_linguistic_rhythm_priming_2023-03-12_15h40.53.877.csv,priming,parrot,TRUE,1,0.9910807,exp1,2
312-huangchengjie_linguistic_rhythm_priming_2023-03-12_15h40.53.877.csv,primingeq,banana,FALSE,1,1.233942,exp1,3
312-huangchengjie_linguistic_rhythm_priming_2023-03-12_15h40.53.877.csv,primingeq,lionfish,TRUE,1,1.280778,exp1,3
312-huangchengjie_linguistic_rhythm_priming_2023-03-12_15h40.53.877.csv,priming,turtle,TRUE,1,1.8320028,exp1,2
312-huangchengjie_linguistic_rhythm_priming_2023-03-12_15h40.53.877.csv,primingeq,violin,FALSE,1,0.9261779,exp1,2
312-huangchengjie_linguistic_rhythm_priming_2023-03-12_15h40.53.877.csv,priming,elephant,TRUE,1,0.8078326,exp1,3
312-huangchengjie_linguistic_rhythm_priming_2023-03-12_15h40.53.877.csv,priming,canary,TRUE,0,1.4210914,exp1,3
312-huangchengjie_linguistic_rhythm_priming_2023-03-12_15h40.53.877.csv,priming,cucumber,FALSE,1,1.4730379,exp1,3
312-huangchengjie_linguistic_rhythm_priming_2023-03-12_15h40.53.877.csv,priming,spider,TRUE,1,1.7410497,exp1,2
312-huangchengjie_linguistic_rhythm_priming_2023-03-12_15h40.53.877.csv,primingeq,musical,FALSE,1,1.0020746,exp1,3
312-huangchengjie_linguistic_rhythm_priming_2023-03-12_15h40.53.877.csv,primingeq,spider,TRUE,1,0.9776336,exp1,2
312-huangchengjie_linguistic_rhythm_priming_2023-03-12_15h40.53.877.csv,priming,octopus,TRUE,0,1.5524798,exp1,3
312-huangchengjie_linguistic_rhythm_priming_2023-03-12_15h40.53.877.csv,priming,umbrella,FALSE,1,1.2826797,exp1,3
312-huangchengjie_linguistic_rhythm_priming_2023-03-12_15h40.53.877.csv,primingeq,balcony,FALSE,1,1.4775996,exp1,3
312-huangchengjie_linguistic_rhythm_priming_2023-03-12_15h40.53.877.csv,primingeq,potato,FALSE,1,1.0876205,exp1,3
312-huangchengjie_linguistic_rhythm_priming_2023-03-12_15h40.53.877.csv,priming,energy,FALSE,1,1.1533041,exp1,3
312-huangchengjie_linguistic_rhythm_priming_2023-03-12_15h40.53.877.csv,priming,seahorse,TRUE,1,1.1357331,exp1,2
312-huangchengjie_linguistic_rhythm_priming_2023-03-12_15h40.53.877.csv,primingeq,seahorse,TRUE,1,0.7393291,exp1,2
312-huangchengjie_linguistic_rhythm_priming_2023-03-12_15h40.53.877.csv,primingeq,turkey,TRUE,1,0.8371796,exp1,2
312-huangchengjie_linguistic_rhythm_priming_2023-03-12_15h40.53.877.csv,primingeq,kangaroo,TRUE,1,1.0102913,exp1,3
312-huangchengjie_linguistic_rhythm_priming_2023-03-12_15h40.53.877.csv,priming,basket,FALSE,1,1.0366902,exp1,2
312-huangchengjie_linguistic_rhythm_priming_2023-03-12_15h40.53.877.csv,primingeq,turtle,TRUE,1,1.0651408,exp1,2
312-huangchengjie_linguistic_rhythm_priming_2023-03-12_15h40.53.877.csv,primingeq,canary,TRUE,0,1.3548202,exp1,3
312-huangchengjie_linguistic_rhythm_priming_2023-03-12_15h40.53.877.csv,priming,pigeon,TRUE,0,1.6408659,exp1,2
312-huangchengjie_linguistic_rhythm_priming_2023-03-12_15h40.53.877.csv,priming,potato,FALSE,1,1.0092129,exp1,3
312-huangchengjie_linguistic_rhythm_priming_2023-03-12_15h40.53.877.csv,primingeq,rubbish,FALSE,1,1.1626083,exp1,2
312-huangchengjie_linguistic_rhythm_priming_2023-03-12_15h40.53.877.csv,primingeq,carrot,FALSE,0,1.4100213,exp1,2
312-huangchengjie_linguistic_rhythm_priming_2023-03-12_15h40.53.877.csv,primingeq,goldfish,TRUE,1,1.1410629,exp1,2
312-huangchengjie_linguistic_rhythm_priming_2023-03-12_15h40.53.877.csv,primingeq,octopus,TRUE,0,1.5993261,exp1,3
312-huangchengjie_linguistic_rhythm_priming_2023-03-12_15h40.53.877.csv,priming,lionfish,TRUE,1,1.3226026,exp1,3
312-huangchengjie_linguistic_rhythm_priming_2023-03-12_15h40.53.877.csv,primingeq,pencil,FALSE,1,1.0618101,exp1,2
